cpp      	  py
-1            -1
-1            -1
-1            -1
-1            -1
-1            -1
-1            -1
18            18
59            59
-1            -1
-1            -1
89            89
85            85
85            85
-1            -1
-1            -1
-1            -1
-1            -1
-1            -1
-1            -1
68            68
36            36
-1            -1
66            66
-1            -1
17            17
-1            -1
10            10
-1            -1
-1            -1
-1            -1
size: 30      size:  30
